Date : 2020-05-14 10:14:02
Directory : e:\VScode-code\c++
Total : 274 files,  6745 codes, 1784 comments, 617 blanks, all 9146 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |        273 |      6,732 |      1,784 |        616 |      9,132 |
| Markdown |          1 |         13 |          0 |          1 |         14 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                            | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                               |        274 |      6,745 |      1,784 |        617 |      9,146 |
| Hust                                                            |         33 |        835 |         76 |         38 |        949 |
| Hust\历年真题                                                       |         31 |        743 |         69 |         26 |        838 |
| Hust\强化训练                                                       |          1 |         91 |          7 |         11 |        109 |
| Leetcode                                                        |         96 |      1,552 |      1,145 |        344 |      3,041 |
| Leetcode\递归                                                     |          1 |         15 |          1 |          1 |         17 |
| PAT                                                             |         98 |      3,214 |        383 |         99 |      3,696 |
| PAT\Advance                                                     |          3 |         90 |          9 |          5 |        104 |
| PAT\Basic                                                       |         93 |      3,014 |        374 |         91 |      3,479 |
| Unslolve                                                        |          7 |        215 |         17 |         20 |        252 |
| exam                                                            |          1 |         43 |          1 |          2 |         46 |
| 文件操作                                                            |          3 |        104 |          8 |          7 |        119 |
| 算法竞赛入门                                                          |         23 |        378 |        106 |         69 |        553 |
| 算法竞赛入门\After Calss Question                                     |         16 |        264 |         74 |         47 |        385 |
| 算法竞赛入门\After Calss Question\1                                   |          4 |         49 |          8 |          9 |         66 |
| 算法竞赛入门\After Calss Question\2                                   |          7 |        103 |         46 |         23 |        172 |
| 算法竞赛入门\After Calss Question\3                                   |          5 |        112 |         20 |         15 |        147 |
| 算法竞赛入门\Example                                                  |          7 |        114 |         32 |         22 |        168 |
| 算法笔记 胡凡                                                         |         13 |        404 |         48 |         38 |        490 |
| 算法笔记 胡凡\11_动态规划                                                 |          1 |         22 |          2 |          0 |         24 |
| 算法笔记 胡凡\7_链表                                                    |          2 |         41 |          3 |          2 |         46 |
| 算法笔记 胡凡\8_搜索专题                                                  |          4 |        135 |         17 |         14 |        166 |
| 算法笔记 胡凡\9_树                                                     |          1 |         31 |          7 |          6 |         44 |
| 算法笔记 胡凡\例题                                                      |          4 |         86 |         13 |          7 |        106 |
+-----------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                        | language | code       | comment    | blank      | total      |
+-----------------------------------------------------------------+----------+------------+------------+------------+------------+
| e:\VScode-code\c++\Hust\tempCodeRunnerFile.cpp                  | C++      |          1 |          0 |          1 |          2 |
| e:\VScode-code\c++\Hust\历年真题\BST.cpp                            | C++      |         51 |          2 |          1 |         54 |
| e:\VScode-code\c++\Hust\历年真题\IP合法.cpp                           | C++      |         10 |          1 |          1 |         12 |
| e:\VScode-code\c++\Hust\历年真题\a+b.cpp                            | C++      |         24 |          3 |          1 |         28 |
| e:\VScode-code\c++\Hust\历年真题\a+b2.cpp                           | C++      |         13 |          0 |          0 |         13 |
| e:\VScode-code\c++\Hust\历年真题\tempCodeRunnerFile.cpp             | C++      |         25 |          3 |          0 |         28 |
| e:\VScode-code\c++\Hust\历年真题\上楼梯.cpp                            | C++      |         14 |          2 |          0 |         16 |
| e:\VScode-code\c++\Hust\历年真题\二叉排序树.cpp                          | C++      |         33 |          2 |          1 |         36 |
| e:\VScode-code\c++\Hust\历年真题\二叉树遍历.cpp                          | C++      |         38 |          4 |          2 |         44 |
| e:\VScode-code\c++\Hust\历年真题\二叉树遍历2.cpp                         | C++      |         20 |          2 |          1 |         23 |
| e:\VScode-code\c++\Hust\历年真题\八进制.cpp                            | C++      |         14 |          0 |          1 |         15 |
| e:\VScode-code\c++\Hust\历年真题\回文字符串.cpp                          | C++      |         12 |          0 |          0 |         12 |
| e:\VScode-code\c++\Hust\历年真题\大整数排序.cpp                          | C++      |         21 |          1 |          0 |         22 |
| e:\VScode-code\c++\Hust\历年真题\奇校验.cpp                            | C++      |         28 |         22 |          2 |         52 |
| e:\VScode-code\c++\Hust\历年真题\字符串连接.cpp                          | C++      |          7 |          0 |          0 |          7 |
| e:\VScode-code\c++\Hust\历年真题\守形数.cpp                            | C++      |         14 |          1 |          1 |         16 |
| e:\VScode-code\c++\Hust\历年真题\守形数2.cpp                           | C++      |         14 |          3 |          1 |         18 |
| e:\VScode-code\c++\Hust\历年真题\对称矩阵.cpp                           | C++      |         17 |          0 |          1 |         18 |
